Category,Product Name,MRP,Selling Price,Discount%,Tag,Rating Count,Brand Name,Rating Count (K/M)
Makeup,garnier skin naturals micellar oilinfused cleansing water f,499,324,35,AD,268953,Garnier,269.0K
Makeup,nykaa matte to last transferproof liquid lipstick,749,487,35,BESTSELLER,2388915,Nykaa,2.4M
Makeup,nykaa cosmetics so creme creamy matte lipstick,329,214,35,BESTSELLER,4027582,Nykaa,4.0M
Makeup,swiss beauty bold matt lip liner pencil longlasting matt,429,69,10,BESTSELLER,263353,Swiss,263.4K
Makeup,swiss beauty real makeup base highlighting primer brighte,1099,386,10,BESTSELLER,109953,Swiss,110.0K
Makeup,kay beauty hydra creme lipstick,749,989,40,AD,5299,Kay,5.3K
Makeup,maybelline new york super stay matte ink liquid lipstick la,849,449,35,BESTSELLER,3871779,Maybelline,3.9M
Makeup,maybelline new york super stay vinyl ink liquid lipstick,799,552,40,BESTSELLER,47579,Maybelline,47.6K
Makeup,kay beauty soft matte pressed powder 120p light,1350,1199,25,BESTSELLER,104,Kay,104
Makeup,maybelline new york instant age rewind eraser concealerconc,799,479,5,BESTSELLER,934024,Maybelline,934.0K
Makeup,kay beauty hydrating foundation,650,1013,35,AD,469661,Kay,469.7K
Makeup,loreal paris infallible 3second setting spray 36hr long l,899,759,7,NEW,947,LOreal,947
Makeup,maybelline new york high impact tattoo pen liner lasts up t,1799,423,10,BESTSELLER,15110,Maybelline,15.1K
Makeup,charlotte tilbury airbrush flawless setting spray,299,3950,10,BESTSELLER,9131,Charlotte,9.1K
Makeup,flicka silk touch 3in1 moisturizer primer sun care der,849,836,35,BESTSELLER,936,Flicka,936
Makeup,daily life forever52 pro artist ultra definition liquid foun,799,1619,40,AD,15626,Daily,15.6K
Makeup,swiss beauty precision thickening long lash mascara waterpr,269,269,0,BESTSELLER,18150,Swiss,18.1K
Makeup,charlotte tilbury matte revolution,3650,3650,0,BESTSELLER,66848,Charlotte,66.8K
Makeup,loreal paris infallible full wear concealer maximum coverag,552,552,0,BESTSELLER,68064,LOreal,68.1K
Makeup,maybelline lash sensational sky high mascara cosmic black,479,479,0,BESTSELLER,72499,Maybelline,72.5K
Baby Care,forest essentials baby body massage oil,1499,1895,8,No Tag,141,Forest,141
Baby Care,cetaphil baby wash & shampoo,600,1379,10,No Tag,1240,Cetaphil,1.2K
Baby Care,aveeno baby soothing relief face &,530,540,3,No Tag,869,Aveeno,869
Baby Care,"sebamed baby shampoo, ph 5.5, camomile,",2850,514,10,No Tag,943,Sebamed,943
Baby Care,isdin fotoprotector fusion water magic pediatrics,676,2565,43,No Tag,1,ISDIN,1
Baby Care,botanical luxuriate tea tree shampoo,575,385,10,No Tag,88,Botanical,88
Baby Care,kama ayurveda organic sweet almond oil,749,675,10,No Tag,2664,Kama,2.7K
Baby Care,palmer’s cocoa butter massage lotion,1112,518,3,No Tag,1261,Palmer’s,1.3K
Baby Care,forest essentials baby head massage oil,317,1495,43,No Tag,94,Forest,94
Baby Care,cetaphil baby advanced protection cream,1758,674,8,No Tag,903,Cetaphil,903
Baby Care,"sebamed baby shampoo, ph 5.5, camomile,",479,1079,17,No Tag,573,Sebamed,573
Baby Care,cetaphil baby mild bar,475,181,29,No Tag,107,Cetaphil,107
Baby Care,isdin fotoprotector mineral baby ped spf,749,2850,8,No Tag,1,ISDIN,1
Baby Care,cetaphil gentle skin cleanser & sun,2020,1617,19,No Tag,283014,Cetaphil,283.0K
Baby Care,nat habit baby body lotion &,630,398,5,No Tag,76,Nat,76
Baby Care,johnson's new baby lotion,335,335,0,No Tag,9349,Johnsons,9.3K
Baby Care,forest essentials dasapushpadi daily moisture lotion,1325,1325,0,No Tag,46,Forest,46
Baby Care,cetaphil baby massage oil shea,689,689,0,No Tag,724,Cetaphil,724
Baby Care,aveeno baby daily moisturizing lotion &,1643,1643,0,No Tag,5336,Aveeno,5.3K
Baby Care,"sebamed baby rash cream, ph 5.5,",599,599,0,No Tag,405,Sebamed,405
Baby Care,orimii mother like no other gift,1985,1787,10,No Tag,6,Orimii,6
