Category,Product Name,MRP,Selling Price,Discount,Tag,Rating,Brand Name
Makeup,Garnier Skin Naturals Micellar OilInfused Cleansing Water F,₹499,₹324,35%,AD,( 268953 ),Garnier Skin
Makeup,Nykaa Matte To Last  Transferproof Liquid Lipstick,₹749,₹487,35%,BESTSELLER,( 2388915 ),Nykaa
Makeup,Nykaa Cosmetics So Creme Creamy Matte Lipstick,₹329,₹214,35%,BESTSELLER,( 4027582 ),Nykaa Cosmetics
Makeup,Swiss Beauty Bold Matt Lip Liner Pencil Longlasting  Matt,₹429,₹69,10%,BESTSELLER,( 263353 ),Swiss Beauty
Makeup,Swiss Beauty Real MakeUp Base Highlighting Primer  Brighte,₹1099,₹386,10%,BESTSELLER,( 109953 ),Swiss Beauty
Makeup,Kay Beauty Hydra Creme Lipstick,₹749,₹989,40%,AD,( 5299 ),Kay Beauty
Makeup,Maybelline New York Super Stay Matte Ink Liquid Lipstick La,₹849,₹449,35%,BESTSELLER,( 3871779 ),Maybelline
Makeup,Maybelline New York Super Stay Vinyl Ink Liquid Lipstick In,₹799,₹552,40%,BESTSELLER,( 47579 ),Maybelline
Makeup,Kay Beauty Soft Matte Pressed Powder  120P Light,₹1350,₹1199,25%,BESTSELLER,( 104 ),Kay Beauty
Makeup,Maybelline New York Instant Age Rewind Eraser ConcealerConc,₹799,₹479,5%,BESTSELLER,( 934024 ),Maybelline
Makeup,Kay Beauty Hydrating Foundation,₹650,₹1013,35%,AD,( 469661 ),Kay Beauty
Makeup,LOreal Paris Infallible 3Second Setting Spray 36hr Long L,₹899,₹759,7%,NEW,( 947 ),LOreal Paris
Makeup,Maybelline New York High Impact Tattoo Pen Liner Lasts Up T,₹1799,₹423,10%,BESTSELLER,( 15110 ),Maybelline
Makeup,Charlotte Tilbury Airbrush Flawless Setting Spray,₹299,₹3950,10%,BESTSELLER,( 9131 ),Charlotte Tilbury
Makeup,Flicka Silk Touch 3In1 Moisturizer Primer And Sun Care Der,₹849,₹836,35%,BESTSELLER,( 936 ),Flicka Silk
Makeup,Daily Life Forever52 Pro Artist Ultra Definition Liquid Foun,₹799,₹1619,40%,AD,( 15626 ),Daily Life
Makeup,Swiss Beauty Precision Thickening Long Lash Mascara Waterpr,,₹269,,BESTSELLER,( 18150 ),Swiss Beauty
Makeup,Charlotte Tilbury Matte Revolution,,₹3650,,BESTSELLER,( 66848 ),Charlotte Tilbury
Makeup,LOreal Paris Infallible Full Wear Concealer Maximum Coverag,,₹552,,BESTSELLER,( 68064 ),LOreal Paris
Makeup,Maybelline Lash Sensational Sky High Mascara Cosmic Black,,₹479,,BESTSELLER,( 72499 ),Maybelline Lash
Makeup,Garnier Skin Naturals Micellar OilInfused Cleansing Water F,₹499,₹324,35%,AD,( 268953 ),Garnier Skin
Makeup,Nykaa Matte To Last  Transferproof Liquid Lipstick,₹749,₹487,35%,BESTSELLER,( 2388915 ),Nykaa
Makeup,Nykaa Cosmetics So Creme Creamy Matte Lipstick,₹329,₹214,35%,BESTSELLER,( 4027582 ),Nykaa Cosmetics
Makeup,Swiss Beauty Bold Matt Lip Liner Pencil Longlasting  Matt,₹429,₹69,10%,BESTSELLER,( 263353 ),Swiss Beauty
Makeup,Swiss Beauty Real MakeUp Base Highlighting Primer  Brighte,₹1099,₹386,10%,BESTSELLER,( 109953 ),Swiss Beauty
Makeup,Kay Beauty Hydra Creme Lipstick,₹749,₹989,40%,AD,( 5299 ),Kay Beauty
Makeup,Maybelline New York Super Stay Matte Ink Liquid Lipstick La,₹849,₹449,35%,BESTSELLER,( 3871779 ),Maybelline
Makeup,Maybelline New York Super Stay Vinyl Ink Liquid Lipstick In,₹799,₹552,40%,BESTSELLER,( 47579 ),Maybelline
Makeup,Kay Beauty Soft Matte Pressed Powder  120P Light,₹1350,₹1199,25%,BESTSELLER,( 104 ),Kay Beauty
Makeup,Maybelline New York Instant Age Rewind Eraser ConcealerConc,₹799,₹479,5%,BESTSELLER,( 934024 ),Maybelline
Makeup,Kay Beauty Hydrating Foundation,₹650,₹1013,35%,AD,( 469661 ),Kay Beauty
Makeup,LOreal Paris Infallible 3Second Setting Spray 36hr Long L,₹899,₹759,7%,NEW,( 947 ),LOreal Paris
Makeup,Maybelline New York High Impact Tattoo Pen Liner Lasts Up T,₹1799,₹423,10%,BESTSELLER,( 15110 ),Maybelline
Makeup,Charlotte Tilbury Airbrush Flawless Setting Spray,₹299,₹3950,10%,BESTSELLER,( 9131 ),Charlotte Tilbury
Makeup,Flicka Silk Touch 3In1 Moisturizer Primer And Sun Care Der,₹849,₹836,35%,BESTSELLER,( 936 ),Flicka Silk
Makeup,Daily Life Forever52 Pro Artist Ultra Definition Liquid Foun,₹799,₹1619,40%,AD,( 15626 ),Daily Life
Makeup,Swiss Beauty Precision Thickening Long Lash Mascara Waterpr,,₹269,,BESTSELLER,( 18150 ),Swiss Beauty
Makeup,Charlotte Tilbury Matte Revolution,,₹3650,,BESTSELLER,( 66848 ),Charlotte Tilbury
Makeup,LOreal Paris Infallible Full Wear Concealer Maximum Coverag,,₹552,,BESTSELLER,( 68064 ),LOreal Paris
Makeup,Maybelline Lash Sensational Sky High Mascara Cosmic Black,,₹479,,BESTSELLER,( 72499 ),Maybelline Lash
Makeup,Garnier Skin Naturals Micellar OilInfused Cleansing Water F,₹499,₹324,35%,AD,( 268953 ),Garnier Skin
Makeup,Nykaa Matte To Last  Transferproof Liquid Lipstick,₹749,₹487,35%,BESTSELLER,( 2388915 ),Nykaa
Makeup,Nykaa Cosmetics So Creme Creamy Matte Lipstick,₹329,₹214,35%,BESTSELLER,( 4027582 ),Nykaa Cosmetics
Makeup,Swiss Beauty Bold Matt Lip Liner Pencil Longlasting  Matt,₹429,₹69,10%,BESTSELLER,( 263353 ),Swiss Beauty
Makeup,Swiss Beauty Real MakeUp Base Highlighting Primer  Brighte,₹1099,₹386,10%,BESTSELLER,( 109953 ),Swiss Beauty
Makeup,Kay Beauty Hydra Creme Lipstick,₹749,₹989,40%,AD,( 5299 ),Kay Beauty
Makeup,Maybelline New York Super Stay Matte Ink Liquid Lipstick La,₹849,₹449,35%,BESTSELLER,( 3871779 ),Maybelline
Makeup,Maybelline New York Super Stay Vinyl Ink Liquid Lipstick In,₹799,₹552,40%,BESTSELLER,( 47579 ),Maybelline
Makeup,Kay Beauty Soft Matte Pressed Powder  120P Light,₹1350,₹1199,25%,BESTSELLER,( 104 ),Kay Beauty
Makeup,Maybelline New York Instant Age Rewind Eraser ConcealerConc,₹799,₹479,5%,BESTSELLER,( 934024 ),Maybelline
Makeup,Kay Beauty Hydrating Foundation,₹650,₹1013,35%,AD,( 469661 ),Kay Beauty
Makeup,LOreal Paris Infallible 3Second Setting Spray 36hr Long L,₹899,₹759,7%,NEW,( 947 ),LOreal Paris
Makeup,Maybelline New York High Impact Tattoo Pen Liner Lasts Up T,₹1799,₹423,10%,BESTSELLER,( 15110 ),Maybelline
